questionnaire,item,item_index,r_pc1,var,n_models
Psychological Well-Being Scales,I am quite good at managing the many responsibilities of my daily life.,19,0.3458,1.447,47
HEXACO,I find it hard to fully forgive someone who has done something mean to me.,74,0.3454,0.816,50
Need for Closure Scale (NFCS),"Even if I get a lot of time to make a decision, I still feel compelled to decide quickly.",16,0.3447,1.062,48
ECR-R (Experiences in Close Relationships–Revised),My partner really understands me and my needs,35,0.3431,1.337,47
Varieties of Inner Speech Questionnaire,"I hear other people's actual voices in my head, saying things that they have never said to me before.",11,0.3425,0.882,45
Interpersonal Reactivity Index (IRI),"When I watch a good movie, I can very easily put myself in the place of a leading character. ",22,0.3412,0.855,49
Need for Closure Scale (NFCS),I don't like to be with people who are capable of unexpected actions.,24,0.3408,1.142,48
Schwartz_Values,I value my creativity and individuality,5,0.3395,0.793,48
Religious Orientation Scale-R,I go to church mainly because I like seeing people I know there. ,12,0.3365,0.879,49
HEXACO,I feel reasonably satisfied with myself overall.,3,0.3338,0.261,49
SVQ,I sometimes think out loud to myself when I'm looking for a number in the phone book,19,0.3333,2.601,47
Varieties of Inner Speech Questionnaire-R,"My thinking in words is shortened compared to my normal out-loud speech. For example, rather than saying to myself things like ‘I need to go to the shops’, I will just say ‘shops’ to myself in my head.",13,0.3327,3.016,32
PROTESTANT WORK ETHIC SCALE_,The self-made man is likely to be more ethical than the man born to wealth,6,0.3325,0.504,48
Need for Closure Scale (NFCS),I think it is fun to change my plans at the last moment.,17,0.3318,0.925,49
Moral Foundations Questionnaire (MFQ-30),Whether or not someone was good at math,5,0.3316,0.67,48
HEXACO,"When working, I often set ambitious goals for myself.",7,0.3311,0.5,50
The Internal Representation Questionnaire,My inner speech helps my imagination,13,0.3307,0.961,46
Varieties of Inner Speech Questionnaire-R,"When I am talking to myself about things in my mind, it is like I am going back and forward asking myself questions and then answering them.",1,0.3302,2.446,48
Spheres of Control-3,I have no trouble making and keeping friends.,4,0.3299,1.402,48
Ambivalent Sexism Inventory,Women are too easily offended.,4,0.3299,1.533,46
ECR-R (Experiences in Close Relationships–Revised),My partner only seems to notice me when I’m angry.,17,0.3269,1.549,47
The Internal Representation Questionnaire,I think about problems in my mind in the form of a conversation with myself,10,0.3267,0.87,46
Interpersonal Reactivity Index (IRI),Sometimes I don't feel very sorry for other people when they are having problems,3,0.3263,0.589,48
HEXACO,I find it hard to compromise with people when I really think I’m right.,86,0.3244,0.815,50
CERQ (Cognitive Emotion Regulation Questionnaire),I think about the mistakes others have made in this matter.,34,0.3227,0.634,48
SVQ,I sometimes think out loud to myself when I'm proofreading something I've written,12,0.3225,2.944,47
HEXACO,"In social situations, I'm usually the one who makes the first move.",33,0.3223,0.547,50
Spheres of Control-3,I prefer to concentrate my energy on other things rather than on solving the world's problems.,26,0.322,1.507,48
Need for Closure Scale (NFCS),"When dining out, I like to go to places where I have been before so that I know what to expect.",6,0.3206,1.089,45
Self-Monitoring Scale,"In groups of people, I am rarely the center of attention.",11,0.3193,0.231,49
RWA scale 22-item,Women should have to promise to obey their husbands when they get married.,1,0.3192,0.759,47
Bayesian Racism Scale,"Law enforcement officers should pay particular attention to those social groups more heavily involved in crime, even if this means focusing on members of particular ethnic groups.",3,0.319,2.575,50
PROTESTANT WORK ETHIC SCALE_,A distaste for hard work usually reflects a weakness of character,18,0.3187,1.996,48
Spheres of Control-3,I find it easy to play an important part in most group situations.,28,0.3185,0.679,48
Basic Psychological Needs Scale,People at work are pretty friendly towards me.,41,0.3178,1.153,50
HEXACO,"I avoid making ""small talk"" with people.",15,0.3168,0.599,49
Varieties of Inner Speech Questionnaire-R,I think to myself in words using brief phrases and single words rather than full sentences.,0,0.3166,1.684,50
Spheres of Control-3,I can usually steer a conversation toward the topics I want to talk about.,13,0.3164,0.648,49
Varieties of Inner Speech Questionnaire-R,I talk silently to myself telling myself to do things.,10,0.315,2.78,38
Meaning in Life Questionnaire (MLQ),My life has no clear purpose.,8,0.313,3.186,44
Individualism-collectivism IND-COL,It is important for me that I do my job better than the others,10,0.3123,3.451,49
Social Dominance Orientation Scale 7,Some groups of people are simply inferior to other groups.,0,0.3121,0.618,47
CERQ (Cognitive Emotion Regulation Questionnaire),I want to understand why I feel the way I do about what I have experienced.,10,0.3119,1.237,49
Need for Closure Scale (NFCS),I think that I would learn best in a class that lacks clearly stated objectives and requirements.,26,0.3115,0.622,49
SVQ,I sometimes guide my actions using speech when I use unfamiliar equipment,8,0.3091,2.525,48
Psychological Well-Being Scales,I think it is important to have new experiences that challenge how you think about yourself and the world.,8,0.3083,0.83,49
Varieties of Inner Speech Questionnaire-R,"My thinking to myself in words is like shorthand notes, rather than full, proper, grammatical English.",7,0.3082,2.754,46
MCQ-30,I will be punished for not controlling certain thoughts,21,0.3074,0.63,49
Basic Psychological Needs Scale,Most days I feel a sense of accomplishment from working.,32,0.3066,2.617,49
BFI-2,"Is dominant, acts as a leader.",20,0.305,0.487,49
SVQ,I sometimes think out loud to myself when I'm trying to remember what to buy,24,0.3041,2.07,49
State Trait Anxiety Inventory,I feel pleasant,20,0.3039,0.657,49
Individualism-collectivism IND-COL,I like my privacy,16,0.3031,2.915,49
Schwartz_Values,Doing things as they have always been done is more important than changing things ,24,0.3013,0.649,50
Self-Talk Scale,I’m proud of something I’ve done,7,0.301,0.824,49
Individualism-collectivism IND-COL,I am a unique individual,12,0.3008,3.071,50
MCQ-30,It is bad to think certain thoughts,24,0.2998,0.612,50
Meaning in Life Questionnaire (MLQ),I have discovered a satisfying life purpose.,5,0.2993,2.229,47
Spheres of Control-3,I prefer games involving some luck over games requiring pure skill.,6,0.2987,0.651,50
DERS (Difficulties in Emotion Regulation Scale),"When I’m upset, I acknowledge my emotions",9,0.2957,1.341,47
Adult Temperament Questionnaire,Loud music is unpleasant to me.,58,0.2956,1.261,49
Individualism-collectivism IND-COL,I often do my own thing,8,0.2946,2.297,47
RWA scale 22-item,"The only way our country can get through the crisis ahead is to get back to our traditional values, put some tough leaders in power, and silence the troublemakers spreading bad ideas.",6,0.2922,4.294,50
HEXACO,I prefer jobs that involve active social interaction to those that involve working alone.,63,0.29,0.449,49
MCQ-30,I constantly examine my thoughts,29,0.2883,0.529,49
Spheres of Control-3,I'm not good at guiding the course of a conversation with several others.,7,0.2874,1.266,48
EMOTION REGULATION QUESTIONNAIRE (ERQ)_,"When I want to feel less negative emotion, I change the way I’m thinking about the situation.",9,0.2872,1.261,50
Schwartz_Values,It makes sense to seek out pleasure and avoid pain,26,0.2862,1.159,48
Social Dominance Orientation Scale 7,Inferior groups should stay in their place.,6,0.2857,0.39,47
SVQ,I sometimes verbalize my thoughts when I discover that I've locked my keys inside,14,0.2856,2.805,48
Varieties of Inner Speech Questionnaire-R,"I think in inner speech about what I have done, and whether it was right or not.",8,0.2855,2.074,48
Personal Need for Structure (PNS) Scale,I become uncomfortable when the rules in a situation are not clear,11,0.2855,1.05,49
Self-Talk Scale,Something good has happened to me,1,0.2844,0.717,49
Schwartz_Values,It is important for me to feel authentic to who I really am,25,0.2844,1.092,49
Religious Orientation Scale-R,"Although I am religious, I don’t let it affect my daily life. ",9,0.2835,0.612,49
Individualism-collectivism IND-COL,My happiness depends very much on the happiness of those around me,3,0.2833,2.764,48
Adult Temperament Questionnaire,"When I am listening to music, I am usually aware of subtle emotional tones.",12,0.2801,2.375,49
CERQ (Cognitive Emotion Regulation Questionnaire),I think of nicer things than what I have experienced.,12,0.28,0.681,49
Need for Closure Scale (NFCS),"When I am confronted with a problem, I'm dying to reach a solution very quickly.",12,0.2799,1.253,49
Basic Psychological Needs Scale,I pretty much keep to myself when I am at work.,27,0.2791,1.417,49
HEXACO,I feel that I am an unpopular person.,51,0.2786,0.838,49
Self-Talk Scale,I should have done something differently,0,0.2775,1.062,50
Balanced Inventory of Desirable Responding Version 6,I have done things that I don’t tell other people about.,34,0.2765,3.078,48
Spheres of Control-3,I find it pointless to keep working on something that's too difficult for me.,27,0.2755,2.127,47
PROTESTANT WORK ETHIC SCALE_,I feel uneasy when there is little work for me to do,17,0.2742,1.731,49
DERS (Difficulties in Emotion Regulation Scale),When I’m upset I take time to figure out what I’m really feeling,33,0.2739,0.997,49
HEXACO,"Often when I set a goal, I end up quitting without having reached it.",55,0.2734,0.449,50
State Trait Anxiety Inventory,I feel content,15,0.2713,0.663,46
SVQ,I sometimes verbalize my thoughts when I'm deciding whether I've done a good job,10,0.2692,2.184,49
Psychological Well-Being Scales,I have not experienced many warm and trusting relationships with others.,33,0.2675,3.724,49
RWA scale 22-item,"The established authorities generally turn out to be right about things, while the radicals and protestors are usually just ""loud mouths"" showing off their ignorance.",0,0.2673,2.735,49
ECR-R (Experiences in Close Relationships–Revised),I feel comfortable sharing my private thoughts and feelings with my partner,19,0.2665,1.1,46
Ambivalent Sexism Inventory,Most women fail to appreciate fully all that men do for them.,9,0.266,0.849,48
Moral Foundations Questionnaire (MFQ-30),Whether or not someone showed a lack of loyalty,13,0.2647,1.041,47
Moral Foundations Questionnaire (MFQ-30),Chastity is an important and valuable virtue.,15,0.2626,1.201,47
Individualism-collectivism IND-COL,To me pleasure is spending time with others,27,0.261,3.645,47
Individualism-collectivism IND-COL,I enjoy being unique and different from the others in many ways,28,0.2597,2.546,48
ECR-R (Experiences in Close Relationships–Revised),It's easy for me to be affectionate with my partner.,34,0.2589,0.844,49
Self-Monitoring Scale-Revised,My powers of intuition are quite good when it comes to understanding others’ emotions and motives.,4,0.2588,0.903,49
PROTESTANT WORK ETHIC SCALE_,Life would have very little meaning if we never had to suffer,11,0.2564,1.842,49
Adult Temperament Questionnaire,I rarely enjoy socializing with large groups of people.,45,0.2553,1.851,48
IRQ,"I can easily imagine someone clearly talking, and then imagine the same voice with a heavy cold",33,0.2552,0.836,50
BFI-2,Tends to find fault with others.,11,0.2537,0.717,50
Basic Psychological Needs Scale,People in my life care about me.,11,0.2531,2.694,50
State Trait Anxiety Inventory,I feel pleasant,19,0.2528,0.766,47
Need for Closure Scale (NFCS),I believe that orderliness and organization are among the most important characteristics of a good student.,22,0.2522,0.333,49
BFI-2,Is full of energy.,40,0.2517,0.583,50
BFI-2,Tends to be quiet.,15,0.2481,0.67,50
ECR-R (Experiences in Close Relationships–Revised),I find that my partner(s) don't want to get as close as I would like.,11,0.2455,0.979,49
Rosenberg Self-Esteem Scale,I feel that I have a number of good qualities,2,0.2442,0.273,49
ECR-R (Experiences in Close Relationships–Revised),I find it difficult to allow myself to depend on romantic partners.,20,0.2442,0.875,49
CERQ (Cognitive Emotion Regulation Questionnaire),I think about the mistakes I have made in this matter.,2,0.2439,0.461,48
Spheres of Control-3,"There is nothing we, as consumers, can do to keep the cost of living from going higher.",20,0.2438,1.085,47
EMOTION REGULATION QUESTIONNAIRE (ERQ)_,I control my emotions by changing the way I think about the situation I’m in.,7,0.2434,1.326,48
Moral Foundations Questionnaire (MFQ-30),"If I were a soldier and disagreed with my commanding officer’s orders, I would obey anyway because that is my duty.",14,0.2424,1.486,49
Schwartz_Values,I like routine and dislike the unexpected,9,0.2415,0.873,49
Psychological Well-Being Scales,"Some people wander aimlessly through life, but I am not one of them",34,0.2395,0.934,49
Personal Need for Structure (PNS) Scale,I ﬁnd that a consistent routine enables me to enjoy life more,9,0.2386,0.305,48
MCQ-30,I do not trust my memory,25,0.2386,0.476,47
IRQ,My inner speech helps my imagination,13,0.2379,0.285,49
Adult Temperament Questionnaire,I sometimes seem to be unable to feel pleasure from events and activities that I should enjoy.,15,0.2336,1.686,48
HEXACO,I enjoy having lots of people around to talk with.,39,0.2336,0.562,50
ECR-R (Experiences in Close Relationships–Revised),I get uncomfortable when a romantic partner wants to be very close.,24,0.2329,1.365,46
Need for Closure Scale (NFCS),I like to have friends who are unpredictable.,4,0.2319,1.051,50
Interpersonal Reactivity Index (IRI),"When I am reading an interesting story or novel, I imagine how I would feel if the events in the story were happening to me. ",25,0.2316,1.064,49
HEXACO,"If I had the opportunity, I would like to attend a classical music concert.",48,0.2313,0.336,50
Social Dominance Orientation Scale 7,It’s probably a good thing that certain groups are at the top and other groups are at the bottom.,5,0.2311,0.907,47
Need for Closure Scale (NFCS),I enjoy the uncertainty of going into a new situation without knowing what might happen.,18,0.2308,0.705,46
Adult Temperament Questionnaire,I would enjoy watching a laser show with bright flashing lights.,63,0.2296,2.153,49
The Internal Representation Questionnaire,I like to give myself some down time to talk through thoughts in my mind,16,0.2284,0.428,49
Self-Talk Scale,I’m imagining how other people respond to things I’ve said,3,0.2255,0.464,50
NEED FOR COGNITION SCALE,I find satisfaction in deliberating hard and for long hours.,5,0.2247,1.054,47
Ambivalent Sexism Inventory,A good woman should be set on a pedestal by her man.,16,0.2229,0.808,48
MCQ-30,Worrying helps me to avoid problems in the future,0,0.2217,0.583,49
Gavagai,"You can learn new things, but you can’t really change your basic gavagai",5,0.2205,1.209,48
Spheres of Control-3,"When I need assistance with something, I often find it difficult to get others to help.",16,0.2197,1.113,48
RWA scale 22-item,This country would work a lot better if certain groups of troublemakers would just shut up and accept their group's traditional place in society.,21,0.2189,1.162,45
Belief in a Just World Scale,I feel that injustice is the exception rather than the rule.,5,0.2185,1.25,49
Five Facet Mindfullness Questionnaire (FFMQ),I’m good at finding words to describe my feelings.,1,0.2174,0.695,48
IRQ,The old saying “A picture is worth a thousand words” is certainly true for me,3,0.2154,0.466,50
Spheres of Control-3,"If there's someone I want to meet, I can usually arrange it.",19,0.2149,0.99,50
Basic Psychological Needs Scale,"When I am with XXXXXXX, I feel free to be who I am.",42,0.2146,2.102,48
The Satisfaction with Life Scale,The conditions of my life are excellent.,1,0.2139,0.521,48
IRQ,"If I am walking somewhere by myself, I frequently think of conversations that I’ve recently had",12,0.2121,0.553,48
CMQ Conspiracy mentality,There are secret organizations that greatly influence political decisions,4,0.21,3.333,49
Self-Talk Scale,I’m giving myself instructions or directions about what I should do or say,11,0.2095,0.823,50
State Trait Anxiety Inventory,doesn’t matter,29,0.2089,0.571,45
PROTESTANT WORK ETHIC SCALE_,If one works hard enough he is likely to make a good life for himself,16,0.2084,0.467,49
State Trait Anxiety Inventory,I feel satisfied with myself,22,0.2064,0.663,50
Social Dominance Orientation Scale 7,It’s OK if some groups have more of a chance in life than others.,2,0.2063,1.803,47
Five Facet Mindfullness Questionnaire (FFMQ),I make judgments about whether my thoughts are good or bad.,16,0.2032,1.042,49
State Trait Anxiety Inventory,I feel secure,1,0.2024,0.885,50
The Internal Representation Questionnaire,"If I am walking somewhere by myself, I frequently think of conversations that I’ve recently had",12,0.2,0.755,48
Self-Talk Scale,I want to analyze something that someone recently said to me,5,0.1954,0.763,47
HEXACO,People sometimes tell me that I am too critical of others.,8,0.1945,0.529,50
NEED FOR COGNITION SCALE,Learning new ways to think doesn't excite me very much.,11,0.1942,1.549,47
Psychological Well-Being Scales,"People would describe me as a giving person, willing to share my time with others.",27,0.193,1.064,47
Schwartz_Values,I crave novelty,15,0.1923,0.977,48
Psychological Well-Being Scales,My decisions are not usually influenced by what everyone else is doing.,6,0.1917,2.486,49
SVQ,I sometimes think out loud to myself when I'm trying to solve a puzzle,22,0.1888,1.899,48
Balanced Inventory of Desirable Responding Version 6,I don’t always know the reasons why I do the things I do.,19,0.1863,2.181,49
PROTESTANT WORK ETHIC SCALE_,Our society would have fewer problems if people had less leisure time.,1,0.1858,1.541,50
EPQ-R,Are good manners very important?,20,0.185,0.041,48
Bayesian Racism Scale,"If your personal safety is at stake, it’s sensible to avoid members of ethnic groups known to behave more aggressively.",1,0.1839,2.725,45
Need for Closure Scale (NFCS),I don't like to go into a situation without knowing what I can expect from it.,10,0.1819,0.865,48
HEXACO,People sometimes tell me that I'm too stubborn.,14,0.1805,0.572,50
Moral Foundations Questionnaire (MFQ-30),Whether or not someone did something to betray his or her group,8,0.1797,1.048,48
PROTESTANT WORK ETHIC SCALE_,Most people spend too much time in unprofitable amusement.,0,0.1796,1.08,47
HEXACO,I wouldn't spend my time reading a book of poetry.,24,0.1795,0.867,50
PROTESTANT WORK ETHIC SCALE_,People who fail at a job have usually not tried hard enough,10,0.1795,1.372,48
MCQ-30,I am aware of the way my mind works when I am thinking through a problem,4,0.1783,0.511,49
Need for Closure Scale (NFCS),I find that a well ordered life with regular hours suits my temperament.,5,0.1772,0.659,49
MCQ-30,"If I could not control my thoughts, I would not be able to function",26,0.1768,0.921,49
State Trait Anxiety Inventory,I feel secure,33,0.1762,0.916,45
ECR-R (Experiences in Close Relationships–Revised),It helps to turn to my romantic partner in times of need.,28,0.1761,1.178,49
Individualism-collectivism IND-COL,One should live one’s life independently of others,4,0.1754,2.266,49
State Trait Anxiety Inventory,I am content,36,0.1753,0.467,42
ECR-R (Experiences in Close Relationships–Revised),I prefer not to show a partner how I feel deep down.,18,0.1752,1.521,48
EMOTION REGULATION QUESTIONNAIRE (ERQ)_,"When I am feeling positive emotions, I am careful not to express them.",3,0.1751,1.559,48
EMOTION REGULATION QUESTIONNAIRE (ERQ)_,I keep my emotions to myself.,1,0.1749,1.193,50
IRQ,I like to give myself some down time to talk through thoughts in my mind,16,0.1744,0.355,50
Self-Monitoring Scale,I sometimes appear to others to be experiencing deeper emotions than I actually am.,9,0.1704,0.25,49
PROTESTANT WORK ETHIC SCALE_,The credit card is a ticket to careless spending,13,0.1692,1.184,48
CERQ (Cognitive Emotion Regulation Questionnaire),I tell myself that there are worse things in life.,27,0.1684,0.34,48
Rosenberg Self-Esteem Scale,I take a positive attitude toward myself,9,0.166,0.473,47
Self-Monitoring Scale,I can make impromptu speeches even on topics about which I have almost no information.,4,0.1647,0.244,48
ECR-R (Experiences in Close Relationships–Revised),My romantic partner makes me doubt myself.,9,0.1634,1.57,47
State Trait Anxiety Inventory,I feel rested,25,0.163,1.042,49
Individualism-collectivism IND-COL,I like sharing little things with my neighbors,7,0.1618,1.546,49
Religious Orientation Scale-R,"Although I believe in my religion, many other things are more important. ",13,0.1609,0.34,48
Meaning in Life Questionnaire (MLQ),I have a good sense of what makes my life meaningful.,4,0.16,1.419,49
IRQ,I can easily imagine the sound of a trumpet getting louder,35,0.1593,1.336,48
HEXACO,I would be quite bored by a visit to an art gallery.,0,0.1593,0.773,48
DERS (Difficulties in Emotion Regulation Scale),I have no idea how I am feeling,3,0.1592,1.251,50
MCQ-30,I have a poor memory,16,0.158,0.524,50
HEXACO,I would like a job that requires following a routine rather than being creative.,12,0.1574,0.428,49
Self-Monitoring Scale,I have never been good at games like charades or improvisational acting.,19,0.156,0.251,48
MCQ-30,I have little confidence in my memory for actions,28,0.1558,0.776,49
Gavagai,You can change even your basic gavagai level considerably,7,0.1554,0.922,47
EPQ-R,Is it better to follow society's rules than go your own way?,87,0.1554,0.229,47
RWA scale 22-item,"Our country will be great if we honor the ways of our forefathers, do what the authorities tell us to do, and get rid of the ""rotten apples"" who are ruining everything.",18,0.1542,4.239,48
Basic Psychological Needs Scale,I have been able to learn interesting new skills recently.,9,0.1535,1.813,50
Need for Closure Scale (NFCS),I dislike it when a person's statement could mean many different things.,29,0.153,0.774,47
Rosenberg Self-Esteem Scale,I am able to do things as well as most other people,3,0.1502,0.303,49
Five Facet Mindfullness Questionnaire (FFMQ),"I notice visual elements in art or nature, such as colors, shapes, textures, or patterns of light and shadow.",30,0.149,0.57,49
State Trait Anxiety Inventory,I feel satisfied,7,0.1481,0.666,47
PROTESTANT WORK ETHIC SCALE_,Hard work offers little guarantee of success,12,0.1481,1.626,46
ECR-R (Experiences in Close Relationships–Revised),I find it relatively easy to get close to my partner.,25,0.1466,1.089,50
Interpersonal Reactivity Index (IRI),I would describe myself as a pretty soft-hearted person.,21,0.1454,0.532,48
BFI-2,Shows a lot of enthusiasm.,55,0.1451,0.191,48
The Satisfaction with Life Scale,"If I could live my life over, I would change almost nothing",4,0.1449,0.574,49
Self-Talk Scale,I want to remind myself of what I need to do,14,0.1436,1.017,43
Varieties of Inner Speech Questionnaire-R,I think to myself in words using full sentences.,6,0.1427,3.376,46
BFI-2,Values art and beauty.,34,0.1403,0.285,49
BIS_BAS Scales,I have very few fears compared to my friends.,21,0.14,0.772,49
Spheres of Control-3,I can usually achieve what I want if I work hard for it.,0,0.1389,0.425,50
BFI-2,Stays optimistic after experiencing a setback.,8,0.1346,0.184,49
Adult Temperament Questionnaire,I would not enjoy a job that involves socializing with the public.,13,0.1337,2.695,48
RWA scale 22-item,It is always better to trust the judgement of the proper authorities in government and religion than to listen to the noisy rabble-rousers in our society who are trying to create doubt in people's minds.,4,0.1334,3.537,46
ECR-R (Experiences in Close Relationships–Revised),I tell my partner just about everything.,29,0.1313,0.875,49
BFI-2,Finds it hard to influence people.,35,0.127,0.574,48
Spheres of Control-3,Bad economic conditions are caused by world events that are beyond our control.,11,0.1256,0.786,50
RWA scale 22-item,"Our country needs free thinkers who have the courage to defy traditional ways, even if this upsets many people.",8,0.1255,0.917,49
Basic Psychological Needs Scale,"When I am with XXXXXXX, I have a say in what happens, and I can voice my opinion.",46,0.1254,1.584,47
HEXACO,I’ve never really enjoyed looking through an encyclopedia.,78,0.1248,0.784,50
RWA scale 22-item,"Homosexuals and feminists should be praised for being brave enough to defy ""traditional family values.""",20,0.1237,3.311,46
Varieties of Inner Speech Questionnaire-R,I talk back and forward to myself in my mind about things.,12,0.1176,2.661,44
BFI-2,Assumes the best about people.,56,0.1173,0.204,50
Moral Foundations Questionnaire (MFQ-30),Respect for authority is something all children need to learn.,3,0.1159,0.393,48
Five Facet Mindfullness Questionnaire (FFMQ),"When I have distressing thoughts or images, I “step back” and am aware of the thought or image without getting taken over by it.",18,0.1157,1.047,49
CERQ (Cognitive Emotion Regulation Questionnaire),I think that basically the cause lies within myself.,3,0.1149,0.854,49
HEXACO,I don't think of myself as the artistic or creative type.,84,0.1148,1.0,48
BFI-2,"Is sometimes shy, introverted.",30,0.1141,0.606,48
Social Dominance Orientation Scale 7,We should strive to make incomes as equal as possible.,14,0.1135,0.792,49
BFI-2,Has few artistic interests.,4,0.1116,0.862,49
The Internal Representation Questionnaire,"If I am walking somewhere by myself, I often have a silent conversation with myself",11,0.1097,0.585,48
Schwartz_Values,I love to try new and exciting things,0,0.1084,0.389,47
DERS (Difficulties in Emotion Regulation Scale),"When I’m upset, I believe that my feelings are valid and important",16,0.108,0.776,48
Basic Psychological Needs Scale,"When I am with XXXXXXX, I feel like a competent person.",43,0.1067,2.155,45
Interpersonal Reactivity Index (IRI),Other people's misfortunes do not usually disturb me a great deal. ,13,0.103,1.467,49
Need for Closure Scale (NFCS),I like to know what people are thinking all the time.,28,0.1012,1.003,49
Moral Foundations Questionnaire (MFQ-30),Compassion for those who are suffering is the most crucial virtue,0,0.101,0.446,48
Belief in a Just World Scale,I believe that people’s efforts are usually rewarded.,2,0.0992,0.336,49
Moral Foundations Questionnaire (MFQ-30),Justice is the most important requirement for a society.,7,0.0961,0.698,48
HEXACO,I think of myself as a somewhat eccentric person.,66,0.0949,0.375,49
Spheres of Control-3,The average citizen can have an influence on government decisions.,5,0.094,0.556,49
Varieties of Inner Speech Questionnaire-R,"My thinking in words is like a speech or a monologue, rather than a conversation",20,0.0927,2.353,50
Spheres of Control-3,"In attempting to smooth over a disagreement, I sometimes make it worse.",25,0.0921,0.716,48
IRQ,If I imagine my memories visually they are more often static than moving,9,0.0908,0.5,49
Self-Talk Scale,I need to figure out what I should do or say,2,0.0907,0.831,46
DERS (Difficulties in Emotion Regulation Scale),I am clear about my feelings,0,0.0883,1.099,49
Meaning in Life Questionnaire (MLQ),My life has a clear sense of purpose.,3,0.0874,2.401,47
Spheres of Control-3,It is difficult for us to have much control over the things politicians do in office.,8,0.0871,0.939,50
Adult Temperament Questionnaire,I like conversations that include several people.,36,0.0868,0.985,49
Self-Monitoring Scale,"Even if I am not enjoying myself, I often pretend to be having a good time.",14,0.0847,0.239,48
MCQ-30,I have little confidence in my memory for places,23,0.0845,0.489,46
Schwartz_Values,I like to stick up for the ‘underdog’,11,0.0841,0.373,49
CERQ (Cognitive Emotion Regulation Questionnaire),I think that it hasn’t been too bad compared to other things.,26,0.0835,0.622,50
Individualism-collectivism IND-COL,I would sacrifice an activity that I enjoy very much if my family did not approve of it,21,0.0829,2.145,48
Basic Psychological Needs Scale,I really like the people I work with.,22,0.0828,1.943,48
Gavagai,"No matter how much gavagai you have, you can always change it quite a bit",6,0.0816,0.687,50
CERQ (Cognitive Emotion Regulation Questionnaire),I think that I can become a stronger person as a result of what has happened.,21,0.0808,0.415,49
The Internal Representation Questionnaire,I can easily choose to imagine this sentence in my mind pronounced unnaturally slowly,29,0.0802,1.527,46
State Trait Anxiety Inventory,I feel self-confident,10,0.0797,0.517,49
RWA scale 22-item,"Some of the best people in our country are those who are challenging our government, criticizing religion, and ignoring the ""normal way things are supposed to be done.""",14,0.0797,2.238,50
Five Facet Mindfullness Questionnaire (FFMQ),I watch my feelings without getting lost in them.,8,0.0782,0.963,49
EMOTION REGULATION QUESTIONNAIRE (ERQ)_,"When I want to feel more positive emotion, I change the way I’m thinking about the situation.the situation.",6,0.0767,0.424,48
Interpersonal Reactivity Index (IRI),"I often have tender, concerned feelings for people less fortunate than me.",1,0.0763,0.925,49
Meaning in Life Questionnaire (MLQ),I understand my life’s meaning,0,0.0758,1.887,47
MCQ-30,I am constantly aware of my thinking,15,0.0725,0.696,49
HEXACO,"When I'm in a group of people, I'm often the one who speaks on behalf of the group.",57,0.071,0.728,50
Basic Psychological Needs Scale,I feel like I can pretty much be myself in my daily situations.,16,0.071,1.563,50
Ambivalent Sexism Inventory,Feminists are making entirely reasonable demands of men.,20,0.0705,1.259,49
EPQ-R,Do you generally 'look before you leap'?,80,0.0701,0.078,48
Self-Monitoring Scale,I would not change my opinions (or the way I do things) in order to please someone else or win their favor.,16,0.0669,0.255,48
Self-Monitoring Scale,"In different situations and with different people, I often act like very different persons.",12,0.0659,0.254,48
Need for Closure Scale (NFCS),I would rather make a decision quickly than sleep over it.,15,0.0654,1.085,48
RWA scale 22-item,Atheists and others who have rebelled against the established religions are no doubt every bit as good and virtuous as those who attend church regularly.,5,0.0646,2.656,48
BIS_BAS Scales,When I'm doing well at something I love to keep at it.,3,0.0634,0.292,49
RWA scale 22-item,"The ""old-fashioned ways"" and the ""old-fashioned values"" still show the best way to live.",11,0.0629,2.141,49
SVQ,I sometimes verbalize my thoughts when I'm trying to figure out why some machine isn't working,25,0.0629,1.742,49
ECR-R (Experiences in Close Relationships–Revised),I don't feel comfortable opening up to romantic partners.,22,0.0611,1.297,49
BFI-2,"Is fascinated by art, music, or literature.",19,0.0605,0.418,50
RWA scale 22-item,"God's laws about abortion, pornography and marriage must be strictly followed before it is too late, and those who break them must be strongly punished.",15,0.0601,3.933,47
Gavagai,Your gavagai is something about you that you can’t change very much,1,0.0599,0.83,49
HEXACO,I enjoy looking at maps of different places.,30,0.058,0.439,49
HEXACO,Most people are more upbeat and dynamic than I generally am.,93,0.0574,0.524,50
Balanced Inventory of Desirable Responding Version 6,I always know why I like things.,4,0.0553,1.445,49
HEXACO,I rarely express my opinions in group meetings.,9,0.0526,0.481,49
Self-Monitoring Scale,I guess I put on a show to impress or entertain people.,5,0.0495,0.246,47
HEXACO,I often check my work over repeatedly to find any mistakes.,13,0.049,0.401,49
Self-Monitoring Scale-Revised,I can usually tell when others consider a joke to be in bad taste‚ even though they may laugh convincingly.,5,0.0477,0.468,48
Self-Monitoring Scale,"I rarely seek the advice of my friends to choose movies, books, or music.",8,0.0475,0.244,48
Spheres of Control-3,"By taking an active part in political and social affairs, we the people can influence world events.",2,0.0473,0.588,49
EPQ-R,Do you try not to be rude to people?,78,0.0424,0.02,49
CMQ Conspiracy mentality,Politicians usually do not tell us the true motives for their decisions ,1,0.0418,1.198,48
Moral Foundations Questionnaire (MFQ-30),It is more important to be a team player than to express oneself,13,0.0401,0.702,48
